group_id,season_id,division,group_letter,score_model
2012-s3-B-GC,2012-s3,B,C,set-scores
2012-s3-B-GD,2012-s3,B,D,set-scores
2012-s3-B-GE,2012-s3,B,E,set-scores
2012-s3-B-GF,2012-s3,B,F,set-scores
2012-s4-A-GA,2012-s4,A,A,set-scores
2012-s4-A-GB,2012-s4,A,B,set-scores
2012-s4-A-GC,2012-s4,A,C,set-scores
2012-s4-A-GD,2012-s4,A,D,set-scores
2012-s4-A-GE,2012-s4,A,E,set-scores
2012-s4-A-GF,2012-s4,A,F,set-scores
2012-s4-A-GG,2012-s4,A,G,set-scores
2012-s4-B-GA,2012-s4,B,A,set-scores
2012-s4-B-GB,2012-s4,B,B,set-scores
2012-s4-B-GC,2012-s4,B,C,set-scores
2012-s4-B-GD,2012-s4,B,D,set-scores
2012-s4-B-GE,2012-s4,B,E,set-scores
2012-s4-B-GF,2012-s4,B,F,set-scores
2012-s5-A-GA,2012-s5,A,A,set-scores
2012-s5-A-GB,2012-s5,A,B,set-scores
2012-s5-A-GC,2012-s5,A,C,set-scores
2012-s5-A-GD,2012-s5,A,D,set-scores
2012-s5-A-GE,2012-s5,A,E,set-scores
2012-s5-A-GF,2012-s5,A,F,set-scores
2012-s5-B-GA,2012-s5,B,A,set-scores
2012-s5-B-GB,2012-s5,B,B,set-scores
2012-s5-B-GC,2012-s5,B,C,set-scores
2012-s5-B-GD,2012-s5,B,D,set-scores
2012-s5-B-GE,2012-s5,B,E,set-scores
2013-s1-A-GA,2013-s1,A,A,set-scores
2013-s1-A-GB,2013-s1,A,B,set-scores
2013-s1-A-GC,2013-s1,A,C,set-scores
2013-s1-A-GD,2013-s1,A,D,set-scores
2013-s1-A-GE,2013-s1,A,E,set-scores
2013-s1-A-GF,2013-s1,A,F,set-scores
2013-s1-B-GA,2013-s1,B,A,set-scores
2013-s1-B-GB,2013-s1,B,B,set-scores
2013-s1-B-GC,2013-s1,B,C,set-scores
2013-s1-B-GD,2013-s1,B,D,set-scores
2013-s1-B-GE,2013-s1,B,E,set-scores
2013-s2-A-GA,2013-s2,A,A,set-scores
2013-s2-A-GB,2013-s2,A,B,set-scores
2013-s2-A-GC,2013-s2,A,C,set-scores
2013-s2-A-GD,2013-s2,A,D,set-scores
2013-s2-A-GE,2013-s2,A,E,set-scores
2013-s2-A-GF,2013-s2,A,F,set-scores
2013-s2-B-GA,2013-s2,B,A,set-scores
2013-s2-B-GB,2013-s2,B,B,set-scores
2013-s2-B-GC,2013-s2,B,C,set-scores
2013-s2-B-GD,2013-s2,B,D,set-scores
2013-s2-B-GE,2013-s2,B,E,set-scores
2013-s3-A-GA,2013-s3,A,A,set-scores
2013-s3-A-GB,2013-s3,A,B,set-scores
2013-s3-A-GC,2013-s3,A,C,set-scores
2013-s3-A-GD,2013-s3,A,D,set-scores
2013-s3-A-GE,2013-s3,A,E,set-scores
2013-s3-A-GF,2013-s3,A,F,set-scores
2013-s3-A-GG,2013-s3,A,G,set-scores
2013-s3-A-GH,2013-s3,A,H,set-scores
2013-s3-B-GA,2013-s3,B,A,set-scores
2013-s3-B-GB,2013-s3,B,B,set-scores
2013-s3-B-GC,2013-s3,B,C,set-scores
2013-s3-B-GD,2013-s3,B,D,set-scores
2013-s3-B-GE,2013-s3,B,E,set-scores
2013-s4-A-GA,2013-s4,A,A,set-scores
2013-s4-A-GB,2013-s4,A,B,set-scores
2013-s4-A-GC,2013-s4,A,C,set-scores
2013-s4-A-GD,2013-s4,A,D,set-scores
2013-s4-A-GE,2013-s4,A,E,set-scores
2013-s4-A-GF,2013-s4,A,F,set-scores
2013-s4-A-GG,2013-s4,A,G,set-scores
2013-s4-B-GA,2013-s4,B,A,set-scores
2013-s4-B-GB,2013-s4,B,B,set-scores
2013-s4-B-GC,2013-s4,B,C,set-scores
2013-s4-B-GD,2013-s4,B,D,set-scores
2013-s4-B-GE,2013-s4,B,E,set-scores
2013-s4-B-GF,2013-s4,B,F,set-scores
2013-s5-A-GA,2013-s5,A,A,set-scores
2013-s5-A-GB,2013-s5,A,B,set-scores
2013-s5-A-GC,2013-s5,A,C,set-scores
2013-s5-A-GD,2013-s5,A,D,set-scores
2013-s5-A-GE,2013-s5,A,E,set-scores
2013-s5-A-GF,2013-s5,A,F,set-scores
2013-s5-B-GA,2013-s5,B,A,set-scores
2013-s5-B-GB,2013-s5,B,B,set-scores
2013-s5-B-GC,2013-s5,B,C,set-scores
2013-s5-B-GD,2013-s5,B,D,set-scores
2013-s5-B-GE,2013-s5,B,E,set-scores
2014-s1-A-GA,2014-s1,A,A,set-scores
2014-s1-A-GB,2014-s1,A,B,set-scores
2014-s1-A-GC,2014-s1,A,C,set-scores
2014-s1-A-GD,2014-s1,A,D,set-scores
2014-s1-A-GE,2014-s1,A,E,set-scores
2014-s1-A-GF,2014-s1,A,F,set-scores
2014-s1-B-GA,2014-s1,B,A,set-scores
2014-s1-B-GB,2014-s1,B,B,set-scores
2014-s1-B-GC,2014-s1,B,C,set-scores
2014-s1-B-GD,2014-s1,B,D,set-scores
2014-s1-B-GE,2014-s1,B,E,set-scores
